Keuwl Accelerometer Data File
2017-11-22 11-23-54

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
1.3998270,-0.026300,-0.062385,0.965443,0.967814,4.011369,247.141235
1.4105787,-0.027319,-0.068298,0.960550,0.963363,4.379135,248.198593
1.4199270,-0.029256,-0.068298,0.965443,0.968298,4.400774,246.811737
1.4309503,-0.034149,-0.073191,0.963507,0.966886,4.791583,244.987473
1.4398472,-0.028236,-0.067278,0.965443,0.968197,4.321915,247.232361
1.4538176,-0.029256,-0.066361,0.966463,0.969180,4.291446,246.209229
1.4598449,-0.028236,-0.067278,0.970336,0.973076,4.300200,247.232361
1.4701622,-0.030173,-0.064424,0.962589,0.965214,4.226746,244.903748
1.4798874,-0.028236,-0.064424,0.968400,0.970951,4.154448,246.332581
1.4901466,-0.029256,-0.064424,0.965443,0.968033,4.191664,245.576538
1.4998384,-0.028236,-0.064424,0.966463,0.969019,4.162689,246.332581
1.5105078,-0.028236,-0.071254,0.970336,0.973359,4.516313,248.382553
1.5198169,-0.027319,-0.064424,0.971356,0.973873,4.120510,247.020599
1.5298200,-0.028236,-0.062385,0.966463,0.968886,4.052846,245.647812
1.5398357,-0.026300,-0.063405,0.967380,0.969812,4.058737,247.471771
1.5505228,-0.029256,-0.061468,0.970336,0.972721,4.013077,244.547714
1.5598109,-0.029256,-0.061468,0.970336,0.972721,4.013077,244.547714
1.5699862,-0.024363,-0.062385,0.965443,0.967764,3.968324,248.668213
1.5798941,-0.027319,-0.062385,0.971356,0.973740,4.010636,246.350983
1.5898243,-0.033129,-0.074108,0.963507,0.966920,4.815847,245.913315
1.6055874,-0.029256,-0.065341,0.962589,0.965248,4.253490,245.880127
1.6106445,-0.026300,-0.066361,0.964526,0.967164,4.232626,248.380920
1.6198339,-0.027319,-0.063405,0.965443,0.967909,4.090314,246.690323
1.6310667,-0.026300,-0.065341,0.969419,0.971974,4.155674,248.075409
1.6399084,-0.026300,-0.061468,0.972273,0.974569,3.933729,246.835815
1.6502811,-0.027319,-0.068298,0.970336,0.973121,4.335173,248.198593
1.6605690,-0.027319,-0.066361,0.968400,0.971055,4.238222,247.624298
1.6707491,-0.033129,-0.069215,0.965443,0.968488,4.544416,244.422119
1.6798085,-0.027319,-0.065341,0.969419,0.972003,4.178467,247.310349
1.6902828,-0.027319,-0.067278,0.962589,0.965324,4.313932,247.899872
1.6998121,-0.024363,-0.065341,0.962589,0.965112,4.143639,249.551788
1.7104279,-0.027319,-0.065341,0.965443,0.968038,4.195587,247.310349
1.7198033,-0.027319,-0.064424,0.968400,0.970925,4.133086,247.020599
1.7336074,-0.028236,-0.061468,0.969419,0.971776,3.991499,245.327377
1.7398199,-0.030173,-0.068298,0.967380,0.970257,4.413573,246.164581
1.7505404,-0.027319,-0.065341,0.964526,0.967123,4.199553,247.310349
1.7606516,-0.028236,-0.068298,0.961570,0.964406,4.394984,247.538193
1.7703354,-0.027319,-0.069215,0.963507,0.966376,4.416146,248.460953
1.7800009,-0.027319,-0.060449,0.969419,0.971686,3.914516,245.679916
1.7905774,-0.028236,-0.066361,0.961570,0.964270,4.289209,246.950287
1.7998539,-0.026300,-0.063405,0.971356,0.973778,4.042202,247.471771
1.8106674,-0.027319,-0.068298,0.968400,0.971189,4.343793,248.198593
1.8197951,-0.026300,-0.066361,0.967380,0.970010,4.220161,248.380920
1.8303490,-0.022426,-0.064424,0.971356,0.973748,4.017125,250.806931
1.8399867,-0.029256,-0.064424,0.968400,0.970981,4.178842,245.576538
1.8507558,-0.029256,-0.066361,0.964526,0.967249,4.300063,246.209229
1.8527274,-0.028236,-0.065341,0.975229,0.977824,4.174575,246.629028
1.8627274,-0.028236,-0.065341,0.975229,0.977824,4.174575,246.629028
1.8727274,-0.028236,-0.065341,0.975229,0.977824,4.174575,246.629028
1.8752687,-0.028236,-0.063405,0.971356,0.973832,4.087057,245.994797
1.8799986,-0.028236,-0.063405,0.971356,0.973832,4.087057,245.994797
1.8898003,-0.029256,-0.069215,0.968400,0.971311,4.437075,247.087173
1.8998560,-0.027319,-0.068298,0.962589,0.965396,4.369912,248.198593
1.9105148,-0.032212,-0.062385,0.969419,0.971958,4.142457,242.690887
1.9198184,-0.027319,-0.063405,0.965443,0.967909,4.090314,246.690323
1.9306839,-0.026300,-0.070234,0.963507,0.966421,4.450783,249.471298
1.9397991,-0.029256,-0.067278,0.968400,0.971175,4.332371,246.498260
1.9503621,-0.030173,-0.065341,0.965443,0.968122,4.263424,245.213516
